[08:23:01] [phase1] starting, 23 sources (heap=427MB sys=460MB)
[08:56:01] [phase1]   opus-dochplt: 58028 docs, 200257 sentences in this source - flushing to scratch (heap=6853MB sys=9271MB)
[08:56:23] [phase1]   opus-dochplt: 58649 docs, 200174 sentences in this source - flushing to scratch (heap=5271MB sys=9271MB)
[08:56:43] [phase1]   opus-dochplt: 59257 docs, 200303 sentences in this source - flushing to scratch (heap=7683MB sys=9271MB)
[08:57:05] [phase1]   opus-dochplt: 59868 docs, 200016 sentences in this source - flushing to scratch (heap=5944MB sys=9421MB)
[08:57:26] [phase1]   opus-dochplt: 60485 docs, 200056 sentences in this source - flushing to scratch (heap=8357MB sys=9421MB)
[08:57:46] [phase1]   opus-dochplt: 61148 docs, 200073 sentences in this source - flushing to scratch (heap=6730MB sys=9430MB)
[08:58:06] [phase1]   opus-dochplt: 61782 docs, 200054 sentences in this source - flushing to scratch (heap=5261MB sys=9463MB)
[08:58:26] [phase1]   opus-dochplt: 62409 docs, 200378 sentences in this source - flushing to scratch (heap=7896MB sys=9463MB)
[08:58:45] [phase1]   opus-dochplt: 63054 docs, 200147 sentences in this source - flushing to scratch (heap=6154MB sys=9596MB)
[08:59:05] [phase1]   opus-dochplt: 63698 docs, 200177 sentences in this source - flushing to scratch (heap=8712MB sys=9616MB)
[08:59:25] [phase1]   opus-dochplt: 64321 docs, 200019 sentences in this source - flushing to scratch (heap=6993MB sys=9618MB)
[08:59:46] [phase1]   opus-dochplt: 64949 docs, 200046 sentences in this source - flushing to scratch (heap=5406MB sys=9618MB)
[09:00:06] [phase1]   opus-dochplt: 65543 docs, 200242 sentences in this source - flushing to scratch (heap=7944MB sys=9638MB)
[09:00:26] [phase1]   opus-dochplt: 66117 docs, 200207 sentences in this source - flushing to scratch (heap=6078MB sys=9740MB)
[09:00:46] [phase1]   opus-dochplt: 66759 docs, 200033 sentences in this source - flushing to scratch (heap=8718MB sys=9740MB)
[09:01:06] [phase1]   opus-dochplt: 67382 docs, 200241 sentences in this source - flushing to scratch (heap=6858MB sys=9741MB)
[09:01:26] [phase1]   opus-dochplt: 67950 docs, 200225 sentences in this source - flushing to scratch (heap=9274MB sys=9741MB)
[09:01:45] [phase1]   opus-dochplt: 68535 docs, 200376 sentences in this source - flushing to scratch (heap=7405MB sys=9741MB)
[09:02:05] [phase1]   opus-dochplt: 69117 docs, 200334 sentences in this source - flushing to scratch (heap=5528MB sys=9803MB)
[09:02:25] [phase1]   opus-dochplt: 69719 docs, 200304 sentences in this source - flushing to scratch (heap=7995MB sys=9803MB)
[09:02:45] [phase1]   opus-dochplt: 70284 docs, 200340 sentences in this source - flushing to scratch (heap=5939MB sys=9937MB)
[09:03:04] [phase1]   opus-dochplt: 70855 docs, 200244 sentences in this source - flushing to scratch (heap=8308MB sys=9937MB)
[09:03:24] [phase1]   opus-dochplt: 71425 docs, 200113 sentences in this source - flushing to scratch (heap=6258MB sys=9938MB)
[09:03:43] [phase1]   opus-dochplt: 71992 docs, 200151 sentences in this source - flushing to scratch (heap=8669MB sys=9958MB)
[09:04:03] [phase1]   opus-dochplt: 72563 docs, 200228 sentences in this source - flushing to scratch (heap=6655MB sys=9984MB)
[09:04:22] [phase1]   opus-dochplt: 73115 docs, 200031 sentences in this source - flushing to scratch (heap=8996MB sys=9984MB)
[09:04:42] [phase1]   opus-dochplt: 73724 docs, 200274 sentences in this source - flushing to scratch (heap=7047MB sys=10021MB)
[09:05:03] [phase1]   opus-dochplt: 74331 docs, 200266 sentences in this source - flushing to scratch (heap=9567MB sys=10045MB)
[09:05:23] [phase1]   opus-dochplt: 74907 docs, 200186 sentences in this source - flushing to scratch (heap=7633MB sys=10045MB)
[09:05:43] [phase1]   opus-dochplt: 75461 docs, 200045 sentences in this source - flushing to scratch (heap=5618MB sys=10131MB)
[09:06:03] [phase1]   opus-dochplt: 76011 docs, 200056 sentences in this source - flushing to scratch (heap=8023MB sys=10131MB)
[09:06:24] [phase1]   opus-dochplt: 76608 docs, 200053 sentences in this source - flushing to scratch (heap=6016MB sys=10285MB)
[09:06:44] [phase1]   opus-dochplt: 77198 docs, 200114 sentences in this source - flushing to scratch (heap=8679MB sys=10305MB)
[09:07:07] [phase1]   opus-dochplt: 77815 docs, 200020 sentences in this source - flushing to scratch (heap=6649MB sys=10306MB)
[09:07:27] [phase1]   opus-dochplt: 78399 docs, 200056 sentences in this source - flushing to scratch (heap=9146MB sys=10306MB)
[09:07:50] [phase1]   opus-dochplt: 78989 docs, 200347 sentences in this source - flushing to scratch (heap=7177MB sys=10316MB)
[09:08:11] [phase1]   opus-dochplt: 79579 docs, 200065 sentences in this source - flushing to scratch (heap=9785MB sys=10336MB)
[09:08:32] [phase1]   opus-dochplt: 80152 docs, 200173 sentences in this source - flushing to scratch (heap=7854MB sys=10336MB)
[09:09:02] [phase1]   opus-dochplt: 80779 docs, 200155 sentences in this source - flushing to scratch (heap=6109MB sys=10352MB)
[09:09:25] [phase1]   opus-dochplt: 81565 docs, 200140 sentences in this source - flushing to scratch (heap=9323MB sys=10380MB)
[09:09:49] [phase1]   opus-dochplt: 82293 docs, 200384 sentences in this source - flushing to scratch (heap=7617MB sys=10499MB)
[09:10:12] [phase1]   opus-dochplt: 82999 docs, 200136 sentences in this source - flushing to scratch (heap=5838MB sys=10515MB)
[09:10:33] [phase1]   opus-dochplt: 83562 docs, 200078 sentences in this source - flushing to scratch (heap=8488MB sys=10535MB)
[09:10:54] [phase1]   opus-dochplt: 84110 docs, 200188 sentences in this source - flushing to scratch (heap=6134MB sys=10658MB)
[09:11:14] [phase1]   opus-dochplt: 84731 docs, 200060 sentences in this source - flushing to scratch (heap=8606MB sys=10658MB)
[09:11:36] [phase1]   opus-dochplt: 85335 docs, 200007 sentences in this source - flushing to scratch (heap=6401MB sys=10702MB)
[09:11:57] [phase1]   opus-dochplt: 85885 docs, 200090 sentences in this source - flushing to scratch (heap=8871MB sys=10702MB)
[09:12:18] [phase1]   opus-dochplt: 86439 docs, 200231 sentences in this source - flushing to scratch (heap=6593MB sys=10748MB)
[09:12:39] [phase1]   opus-dochplt: 87006 docs, 200060 sentences in this source - flushing to scratch (heap=9037MB sys=10768MB)
[09:13:00] [phase1]   opus-dochplt: 87590 docs, 200032 sentences in this source - flushing to scratch (heap=6661MB sys=10813MB)
[09:13:21] [phase1]   opus-dochplt: 88167 docs, 200119 sentences in this source - flushing to scratch (heap=9127MB sys=10813MB)
[09:13:43] [phase1]   opus-dochplt: 88725 docs, 200009 sentences in this source - flushing to scratch (heap=6800MB sys=10838MB)
[09:14:04] [phase1]   opus-dochplt: 89279 docs, 200132 sentences in this source - flushing to scratch (heap=9208MB sys=10838MB)
[09:14:26] [phase1]   opus-dochplt: 89862 docs, 200077 sentences in this source - flushing to scratch (heap=6863MB sys=10871MB)
[09:14:47] [phase1]   opus-dochplt: 90430 docs, 200012 sentences in this source - flushing to scratch (heap=9325MB sys=10871MB)
[09:15:09] [phase1]   opus-dochplt: 90990 docs, 200233 sentences in this source - flushing to scratch (heap=6960MB sys=10944MB)
[09:15:31] [phase1]   opus-dochplt: 91549 docs, 200244 sentences in this source - flushing to scratch (heap=9421MB sys=10944MB)
[09:15:52] [phase1]   opus-dochplt: 92104 docs, 200382 sentences in this source - flushing to scratch (heap=6886MB sys=11018MB)
[09:16:14] [phase1]   opus-dochplt: 92663 docs, 200379 sentences in this source - flushing to scratch (heap=9347MB sys=11038MB)
[09:16:37] [phase1]   opus-dochplt: 93245 docs, 200308 sentences in this source - flushing to scratch (heap=6995MB sys=11039MB)
[09:16:59] [phase1]   opus-dochplt: 93813 docs, 200154 sentences in this source - flushing to scratch (heap=9430MB sys=11039MB)
[09:17:21] [phase1]   opus-dochplt: 94377 docs, 200172 sentences in this source - flushing to scratch (heap=6884MB sys=11112MB)
[09:17:42] [phase1]   opus-dochplt: 94942 docs, 200218 sentences in this source - flushing to scratch (heap=9279MB sys=11132MB)
[09:18:04] [phase1]   opus-dochplt: 95508 docs, 200350 sentences in this source - flushing to scratch (heap=6735MB sys=11186MB)
[09:18:26] [phase1]   opus-dochplt: 96077 docs, 200219 sentences in this source - flushing to scratch (heap=9207MB sys=11186MB)
[09:18:48] [phase1]   opus-dochplt: 96646 docs, 200296 sentences in this source - flushing to scratch (heap=6682MB sys=11272MB)
[09:19:10] [phase1]   opus-dochplt: 97234 docs, 200141 sentences in this source - flushing to scratch (heap=9156MB sys=11292MB)
[09:19:33] [phase1]   opus-dochplt: 97815 docs, 200204 sentences in this source - flushing to scratch (heap=6589MB sys=11427MB)
[09:19:56] [phase1]   opus-dochplt: 98392 docs, 200197 sentences in this source - flushing to scratch (heap=9128MB sys=11427MB)
[09:20:20] [phase1]   opus-dochplt: 98971 docs, 200040 sentences in this source - flushing to scratch (heap=6574MB sys=11488MB)
[09:20:43] [phase1]   opus-dochplt: 99549 docs, 200237 sentences in this source - flushing to scratch (heap=9171MB sys=11488MB)
[09:21:06] [phase1]   opus-dochplt: 100120 docs, 200021 sentences in this source - flushing to scratch (heap=6554MB sys=11541MB)
[09:21:30] [phase1]   opus-dochplt: 100679 docs, 200142 sentences in this source - flushing to scratch (heap=9203MB sys=11541MB)
[09:21:54] [phase1]   opus-dochplt: 101250 docs, 200202 sentences in this source - flushing to scratch (heap=6666MB sys=11615MB)
[09:22:17] [phase1]   opus-dochplt: 101846 docs, 200254 sentences in this source - flushing to scratch (heap=9252MB sys=11635MB)
[09:22:41] [phase1]   opus-dochplt: 102446 docs, 200288 sentences in this source - flushing to scratch (heap=6725MB sys=11648MB)
[09:23:04] [phase1]   opus-dochplt: 103020 docs, 200102 sentences in this source - flushing to scratch (heap=9273MB sys=11648MB)
[09:23:28] [phase1]   opus-dochplt: 103581 docs, 200136 sentences in this source - flushing to scratch (heap=6454MB sys=11713MB)
[09:23:51] [phase1]   opus-dochplt: 104156 docs, 200201 sentences in this source - flushing to scratch (heap=8963MB sys=11713MB)
[09:24:15] [phase1]   opus-dochplt: 104728 docs, 200197 sentences in this source - flushing to scratch (heap=6146MB sys=11803MB)
[09:24:38] [phase1]   opus-dochplt: 105312 docs, 200293 sentences in this source - flushing to scratch (heap=8614MB sys=11803MB)
[09:25:01] [phase1]   opus-dochplt: 105868 docs, 200204 sentences in this source - flushing to scratch (heap=11047MB sys=11804MB)
[09:25:24] [phase1]   opus-dochplt: 106439 docs, 200358 sentences in this source - flushing to scratch (heap=8202MB sys=11805MB)
[09:25:48] [phase1]   opus-dochplt: 107023 docs, 200023 sentences in this source - flushing to scratch (heap=10713MB sys=11805MB)
[09:26:12] [phase1]   opus-dochplt: 107568 docs, 200215 sentences in this source - flushing to scratch (heap=8165MB sys=11805MB)
[09:26:35] [phase1]   opus-dochplt: 108136 docs, 200302 sentences in this source - flushing to scratch (heap=10588MB sys=11805MB)
[09:26:59] [phase1]   opus-dochplt: 108714 docs, 200212 sentences in this source - flushing to scratch (heap=7907MB sys=11805MB)
[09:27:22] [phase1]   opus-dochplt: 109273 docs, 200087 sentences in this source - flushing to scratch (heap=10347MB sys=11805MB)
[09:27:46] [phase1]   opus-dochplt: 109817 docs, 200004 sentences in this source - flushing to scratch (heap=7427MB sys=11947MB)
[09:28:09] [phase1]   opus-dochplt: 110375 docs, 200235 sentences in this source - flushing to scratch (heap=9847MB sys=11947MB)
[09:28:34] [phase1]   opus-dochplt: 110937 docs, 200325 sentences in this source - flushing to scratch (heap=6966MB sys=12000MB)
[09:28:57] [phase1]   opus-dochplt: 111504 docs, 200198 sentences in this source - flushing to scratch (heap=9398MB sys=12000MB)
[09:29:23] [phase1]   opus-dochplt: 112073 docs, 200070 sentences in this source - flushing to scratch (heap=6470MB sys=12097MB)
[09:29:47] [phase1]   opus-dochplt: 112657 docs, 200130 sentences in this source - flushing to scratch (heap=8953MB sys=12097MB)
[09:30:11] [phase1]   opus-dochplt: 113226 docs, 200396 sentences in this source - flushing to scratch (heap=11396MB sys=12134MB)
[09:30:35] [phase1]   opus-dochplt: 113793 docs, 200385 sentences in this source - flushing to scratch (heap=8496MB sys=12134MB)
[09:30:59] [phase1]   opus-dochplt: 114342 docs, 200192 sentences in this source - flushing to scratch (heap=10911MB sys=12134MB)
[09:31:24] [phase1]   opus-dochplt: 114911 docs, 200218 sentences in this source - flushing to scratch (heap=8318MB sys=12134MB)
[09:31:47] [phase1]   opus-dochplt: 115471 docs, 200079 sentences in this source - flushing to scratch (heap=10720MB sys=12134MB)
[09:32:12] [phase1]   opus-dochplt: 116035 docs, 200103 sentences in this source - flushing to scratch (heap=8126MB sys=12134MB)
